Process Date,Amount,Other Party,Credit Plan Name,Transaction Date,Foreign Details,City,Country Code
07/11/2018,-18.73,"PAYPAL *JUNSEONG       4029357733    SG","PURCHASES",05/11/2018,,,
07/11/2018,-79.00,"TREATME                AUCKLAND      NZ","PURCHASES",06/11/2018,,,
08/11/2018,100.00,"PAYMENT RECEIVED       THANK YOU     NZL",,07/11/2018,,,
09/11/2018,-47.04,"AMZN Mktp US*M80XM3BG2 Amzn.com/bill LU","PURCHASES",07/11/2018,,,
09/11/2018,-15.00,"HANOI OLD QUARTER      CHRISTCHURCH  NZ","PURCHASES",08/11/2018,,,
09/11/2018,-4.90,"ROBERT HARRIS BNZ      CHRISTCHURCH  NZL","PURCHASES",09/11/2018,,,
12/11/2018,-6.00,"PHILLIPSTOWN POST SHOP CHRISTCHURCH  NZ","PURCHASES",09/11/2018,,,
12/11/2018,-43.33,"HEALTHY HARVEST FRUIT  CHRISTCHURCH  NZ","PURCHASES",10/11/2018,,,
12/11/2018,-27.86,"NPD MOORHOUSE          CHRISTCHURCH  NZ","PURCHASES",10/11/2018,,,
12/11/2018,-4.90,"ROBERT HARRIS BNZ      CHRISTCHURCH  NZL","PURCHASES",12/11/2018,,,
12/11/2018,-6.39,"SPOTLIGHT STORES NZ LT SYDENHAM      NZ","PURCHASES",12/11/2018,,,
13/11/2018,-39.00,"www.grouponnz.co.nz    grouponnz.co. IE","PURCHASES",11/11/2018,,,
13/11/2018,-4.90,"ROBERT HARRIS BNZ      CHRISTCHURCH  NZL","PURCHASES",13/11/2018,,,
14/11/2018,-6.61,"LUMLEY GEN INS NZ      AUCKLAND      NZL","PURCHASES",14/11/2018,,,
15/11/2018,-47.65,"PAKNSAVE MOORHOUSE     CHRISTCHURCH  NZ","PURCHASES",14/11/2018,,,
19/11/2018,-29.05,"MAD BUTCHER FERRY ROAD CHRISTCHURCH  NZL","PURCHASES",17/11/2018,,,
20/11/2018,-8.96,"LITTLE BREWS ESPRESSO  CHRISTCHURCH  NZ","PURCHASES",20/11/2018,,,
22/11/2018,-20.24,"FARMERS RICCARTON      CHRISTCHURCH  NZ","PURCHASES",21/11/2018,,,
22/11/2018,-9.00,"NZ TRANSPORT AGENCY    PALM NORTH    NZL","PURCHASES",22/11/2018,,,
23/11/2018,-4.90,"ROBERT HARRIS BNZ      CHRISTCHURCH  NZL","PURCHASES",23/11/2018,,,
26/11/2018,-16.74,"PAKNSAVE MOORHOUSE     CHRISTCHURCH  NZ","PURCHASES",23/11/2018,,,
26/11/2018,-3.99,"UNICHEM CASHEL PHARMAC CHRISTCHURCH  NZ","PURCHASES",23/11/2018,,,
26/11/2018,-30.00,"PAYPAL *BELMONTPHAR    4029357733    SG","PURCHASES",24/11/2018,,,
26/11/2018,-1.96,"PAYPAL *FRFAIRYSEAS    4029357733    SG","PURCHASES",24/11/2018,,,
26/11/2018,-96.82,"CATCHOFTHEDAY.C        MULGRAVE      AU","PURCHASES",24/11/2018,,,
26/11/2018,-10.00,"Trade Me               Wellington    NZ","PURCHASES",25/11/2018,,,
26/11/2018,-20.00,"2DEGREES MOBILE        AUCKLAND      NZ","PURCHASES",25/11/2018,,,
26/11/2018,-7.50,"COTTON ON TYPO 9713    CHRISTCHURCH  NZ","PURCHASES",25/11/2018,,,
27/11/2018,-440.00,"IMMIGRATION NZ         AUCKLAND      NZL","PURCHASES",27/11/2018,,,
28/11/2018,-5.00,"DOMINOS PIZZA          AUCKLAND      NZL","PURCHASES",27/11/2018,,,
29/11/2018,-6.58,"FRESHCHOICE CITY MKT   CHRISTCHURCH  NZ","PURCHASES",29/11/2018,,,
03/12/2018,-10.00,"KMART - RICCARTON      CHRISTCHURCH  NZ","PURCHASES",29/11/2018,,,
03/12/2018,1000.00,"PAYMENT RECEIVED       THANK YOU     NZL",,02/12/2018,,,
03/12/2018,12.00,"PAYMENT RECEIVED       THANK YOU     NZL",,02/12/2018,,,
03/12/2018,-86.49,"TWO DEGREES NEW ZEALAN CHRISTCHURCH  NZ","PURCHASES",02/12/2018,,,
03/12/2018,-4.90,"ROBERT HARRIS BNZ      CHRISTCHURCH  NZL","PURCHASES",03/12/2018,,,
03/12/2018,-43.36,"BASICS ASIAN SUPERMARK CHRISTCHURCH  NZL","PURCHASES",03/12/2018,,,
03/12/2018,-4.00,"GRABONE                WHANGAREI     NZL","PURCHASES",03/12/2018,,,
04/12/2018,-20.00,"GRABONE                WHANGAREI     NZL","PURCHASES",04/12/2018,,,
04/12/2018,39.61,"HOLIDAY CREDIT","PURCHASES",04/12/2018,,,
05/12/2018,51.00,"PAYMENT RECEIVED       THANK YOU     NZL",,04/12/2018,,,
05/12/2018,-19.96,"NPD MOORHOUSE          CHRISTCHURCH  NZ","PURCHASES",05/12/2018,,,
06/12/2018,-10.00,"KIWIS FOR KIWI         AUCKLAND      NZ","PURCHASES",05/12/2018,,,
06/12/2018,50.00,"PAYMENT RECEIVED       THANK YOU     NZL",,06/12/2018,,,
07/12/2018,-24.84,"PAKNSAVE MOORHOUSE     CHRISTCHURCH  NZ","PURCHASES",06/12/2018,,,
07/12/2018,-2.69,"POWERSHOP              WELLINGTON    NZL","PURCHASES",07/12/2018,,,
12/12/2018,-45.76,"PAKNSAVE MOORHOUSE     CHRISTCHURCH  NZ","PURCHASES",11/12/2018,,,
12/12/2018,-11.70,"LUMLEY GEN INS NZ      AUCKLAND      NZL","PURCHASES",12/12/2018,,,
13/12/2018,-390.00,"FERRY ROAD DENTAL      CHRISTCHURCH  NZL","PURCHASES",13/12/2018,,,
13/12/2018,-2.10,"POWERSHOP              WELLINGTON    NZL","PURCHASES",13/12/2018,,,
13/12/2018,-50.33,"POWERSHOP              WELLINGTON    NZL","PURCHASES",13/12/2018,,,
17/12/2018,-5.69,"BASICS ASIAN SUPERMARK CHRISTCHURCH  NZL","PURCHASES",15/12/2018,,,
17/12/2018,-9.65,"CRAZY DAVES            CHRISTCHURCH  NZ","PURCHASES",15/12/2018,,,
17/12/2018,-107.94,"NEW WORLD SOUTH CITY   CHIRSTCHURCH  NZ","PURCHASES",15/12/2018,,,
20/12/2018,-14.90,"COUNTRY ROAD - CHCH    CHRISTCHURCH  NZ","PURCHASES",19/12/2018,,,
20/12/2018,-2.22,"POWERSHOP              WELLINGTON    NZL","PURCHASES",20/12/2018,,,
21/12/2018,-47.00,"GRABONE                WHANGAREI     NZL","PURCHASES",21/12/2018,,,
