Process Date,Amount,Other Party,Credit Plan Name,Transaction Date,Foreign Details,City,Country Code
23/04/2012,-13.00,"3 ELEMENTS             FERRYMEAD     NZ","PURCHASES",22/04/2012,,,
24/04/2012,-12.90,"SUMO SALAD             MANUKAU       NZ","PURCHASES",22/04/2012,,,
24/04/2012,-30.04,"PAK N SAVE RICCARTON   CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",23/04/2012,,,
27/04/2012,-38.04,"COUNTDOWN - NORTHLANDS CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",26/04/2012,,,
30/04/2012,200.00,"PAYMENT RECEIVED       THANK YOU     NZL",,28/04/2012,,,
01/05/2012,-27.65,"KOSCO RICCARTON        CHRISTCHURCH  NZ","PURCHASES",30/04/2012,,,
02/05/2012,-0.10,"SUBWAY WAIRAKEI        BURNSIDE      NZ","PURCHASES",02/05/2012,,,
03/05/2012,-14.80,"YOSHI JAPANESE RESTAUR MERIVALE, CHC NZ","PURCHASES",02/05/2012,,,
07/05/2012,-10.41,"GIPZYS RICCARTON       CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",05/05/2012,,,
07/05/2012,-24.35,"THE MAD BUTCHER NORTHC NORTH COTE    NZ","PURCHASES AMERICAN EXPRESS",06/05/2012,,,
11/05/2012,-1.60,"MCDONALDS RICCARTON    CHRISTCHURCH  NZL","PURCHASES",10/05/2012,,,
14/05/2012,-30.32,"2DEGREES MOBILE        AUCKLAND      NZ","PURCHASES AMERICAN EXPRESS",11/05/2012,,,
14/05/2012,-10.00,"WEST COAST BAR & GRILL PAPANUI       NZ","PURCHASES AMERICAN EXPRESS",12/05/2012,,,
15/05/2012,-33.80,"NANDOS RESTAURANT      CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",13/05/2012,,,
15/05/2012,-28.91,"COUNTDOWN - NORTHLANDS CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",14/05/2012,,,
15/05/2012,-10.00,"CHOPPER APPEAL 2007    AUCKLAND      NZL","PURCHASES",15/05/2012,,,
17/05/2012,-2.00,"MCDONALDS RICCARTON FC CHRISTCHURCH  NZL","PURCHASES",17/05/2012,,,
18/05/2012,-2.20,"MCDONALDS RICCARTON    CHRISTCHURCH  NZL","PURCHASES",17/05/2012,,,
18/05/2012,-25.90,"HANAFINS CAMERA & VIDE RICCARTON     NZ","PURCHASES AMERICAN EXPRESS",17/05/2012,,,
21/05/2012,-5.00,"MCDONALDS RICCARTON    CHRISTCHURCH  NZL","PURCHASES",18/05/2012,,,
21/05/2012,-36.25,"COUNTDOWN - NORTHLANDS CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",19/05/2012,,,
21/05/2012,200.00,"PAYMENT RECEIVED       THANK YOU     NZL",,21/05/2012,,,
25/05/2012,-230.00,"IMMIGRATION - CHCH     CHRISTCHURCH  NZL","PURCHASES",25/05/2012,,,
28/05/2012,-10.00,"HOYTS RICCARTON        CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",25/05/2012,,,
28/05/2012,-21.50,"3 ELEMENTS             FERRYMEAD     NZ","PURCHASES",25/05/2012,,,
28/05/2012,-8.90,"ROBBIES ON RICCARTON   RICCARTON     NZ","PURCHASES AMERICAN EXPRESS",26/05/2012,,,
28/05/2012,-0.60,"MCDONALDS THE PALMS    CHRISTCHURCH  NZL","PURCHASES",27/05/2012,,,
28/05/2012,-34.10,"PAK N SAVE RICCARTON   CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",27/05/2012,,,
28/05/2012,-10.00,"STEVENS THE PALMS 9138 SHIRLEY       NZ","PURCHASES AMERICAN EXPRESS",27/05/2012,,,
28/05/2012,-29.99,"DOTTI SHIRLEY 870 SHIR SHIRLEY       NZ","PURCHASES AMERICAN EXPRESS",27/05/2012,,,
